sppid,species,scinam,dataname,Rank,Occurrences,nSites,UseAvailability.North,Analysis.North,UseAvailability.South,Analysis.South,Maps,Origin
Pelargonium,Pelargonium,Pelargonium,Pelargonium,Genus,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,NA
Penstemon,Penstemon,Penstemon,Penstemon,Genus,11,8,FALSE,FALSE,TRUE,FALSE,FALSE,Native
PenstemonAlbidus,Penstemon albidus,Penstemon albidus,Penstemon.albidus,Species,20,9,FALSE,FALSE,TRUE,FALSE,FALSE,Native
PenstemonConfertus,Penstemon confertus,Penstemon confertus,Penstemon.confertus,Species,17,9,FALSE,FALSE,TRUE,FALSE,FALSE,Native
PenstemonGracilis,Penstemon gracilis,Penstemon gracilis,Penstemon.gracilis,Species,26,19,FALSE,FALSE,TRUE,FALSE,FALSE,Native
PenstemonNitidus,Penstemon nitidus,Penstemon nitidus,Penstemon.nitidus,Species,23,10,FALSE,FALSE,TRUE,FALSE,FALSE,Native
PenstemonProcerus,Penstemon procerus,Penstemon procerus,Penstemon.procerus,Species,132,64,TRUE,FALSE,TRUE,TRUE,TRUE,Native
PerideridiaGairdneri,Perideridia gairdneri,Perideridia gairdneri,Perideridia.gairdneri,Species,4,2,FALSE,FALSE,FALSE,FALSE,FALSE,Native
PeritomaSerrulata,Peritoma serrulata,Peritoma serrulata,Peritoma.serrulata,Species,7,3,FALSE,FALSE,FALSE,FALSE,FALSE,Native
Persicaria,Persicaria,Persicaria,Persicaria,Genus,11,4,FALSE,FALSE,TRUE,FALSE,FALSE,NA
PersicariaAmphibia,Persicaria amphibia,Persicaria amphibia,Persicaria.amphibia,Species,174,90,TRUE,TRUE,TRUE,TRUE,TRUE,Native
PersicariaLapathifolia,Persicaria maculosa/lapathifolium,Persicaria maculosa/lapathifolium,Persicaria.maculosa.lapathifolium,Species,144,61,TRUE,FALSE,TRUE,TRUE,TRUE,Native
Petasites,Petasites,Petasites,Petasites,Genus,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,NA
PetasitesFrigidus,Petasites frigidus,Petasites frigidus,Petasites.frigidus,Species,2603,772,TRUE,TRUE,TRUE,TRUE,TRUE,Native
Petunia,Petunia,Petunia,Petunia,Genus,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,NA
PetuniaHybrida,Petunia hybrida,Petunia hybrida,Petunia.hybrida,Species,4,2,FALSE,FALSE,FALSE,FALSE,FALSE,Exotic
PhaceliaFranklinii,Phacelia franklinii,Phacelia franklinii,Phacelia.franklinii,Species,15,7,TRUE,FALSE,FALSE,FALSE,FALSE,Native
PhalarisArundinacea,Phalaris arundinacea,Phalaris arundinacea,Phalaris.arundinacea,Species,170,75,TRUE,TRUE,TRUE,TRUE,TRUE,Native
PhaseolusVulgaris,Phaseolus vulgaris,Phaseolus vulgaris,Phaseolus.vulgaris,Species,4,1,FALSE,FALSE,FALSE,FALSE,FALSE,Exotic
PhleumAlpinum,Phleum alpinum,Phleum alpinum,Phleum.alpinum,Species,9,3,TRUE,FALSE,FALSE,FALSE,FALSE,Native
PhleumPratense,Phleum pratense,Phleum pratense,Phleum.pratense,Species,838,296,TRUE,TRUE,TRUE,TRUE,TRUE,Exotic
PhloxAlyssifolia,Phlox alyssifolia,Phlox alyssifolia,Phlox.alyssifolia,Species,4,1,FALSE,FALSE,FALSE,FALSE,FALSE,Native
PhloxHoodii,Phlox hoodii,Phlox hoodii,Phlox.hoodii,Species,284,99,FALSE,FALSE,TRUE,TRUE,TRUE,Native
PhragmitesAustralis,Phragmites australis,Phragmites australis,Phragmites.australis,Species,10,3,TRUE,FALSE,FALSE,FALSE,FALSE,Native
